state,district,dem_cand,rep_cand,inc_seat,unopp,part_base,pr_dem,dem_mean,dem_q10,dem_q25,dem_q75,dem_q90
LA,5,,,open,0,0.32908,0.00045,0.3418,0.29877,0.31828,0.36426,0.38523
LA,6,,,open,0,0.30867,0,0.3228,0.28032,0.30129,0.34353,0.36516
MA,1,R. NEAL,D. MARTILLI,dem,0,0.58892,0.95424,0.57908,0.52047,0.54915,0.60864,0.63762
MA,2,J. MCGOVERN,J. PAQUETTE,dem,0,0.63675,0.99888,0.63616,0.58438,0.60934,0.66351,0.68745
MA,3,L. TRAHAN,D. TRAN,dem,0,0.61696,0.9942,0.61689,0.56232,0.58958,0.64585,0.66942
MA,4,J. AUCHINCLOSS,,dem,1,0.6235,1,,,,,
MA,5,K. CLARK,C. COLARUSSO,dem,0,0.74309,1,0.73247,0.69373,0.7129,0.75318,0.76996
MA,6,S. MOULTON,R. MAY,dem,0,0.62082,0.99799,0.63599,0.58437,0.61019,0.66351,0.68643
MA,7,A. PRESSLEY,D. PALMER,dem,0,0.85743,1,0.83529,0.79891,0.81775,0.85504,0.87012
MA,8,S. LYNCH,R. BURKE,dem,0,0.66034,1,0.70561,0.65666,0.6815,0.73073,0.75201
MA,9,B. KEATING,J. BROWN,dem,0,0.57076,0.95246,0.57281,0.517,0.5443,0.60215,0.62688
MD,1,H. MIZEUR,A. HARRIS,gop,0,0.40383,0.00469,0.37876,0.32556,0.34967,0.40641,0.43584
MD,2,D. RUPPERSBERGER,N. AMBROSE,dem,0,0.58545,0.96362,0.581,0.52522,0.55322,0.61028,0.63697
MD,3,J. SARBANES,Y. MORGAN,dem,0,0.6086,0.99107,0.603,0.54979,0.57597,0.63084,0.65523
MD,4,G. GLENNEY,J. WARNER,open,0,0.90479,1,0.8756,0.84335,0.86101,0.89286,0.90559
MD,5,S. HOYER,C. PALOMBI,dem,0,0.66333,0.99955,0.64682,0.60258,0.62495,0.6696,0.68893
MD,6,D. TRONE,N. PARROTT,dem,0,0.5281,0.69978,0.51964,0.47127,0.49413,0.54525,0.5686
MD,7,K. MFUME,S. COLLIER,dem,0,0.80741,1,0.76234,0.71868,0.74003,0.78587,0.8047
MD,8,J. RASKIN,G. COLL,dem,0,0.8043,1,0.76586,0.7302,0.74741,0.78506,0.80119
ME,1,C. PINGREE,E. THELANDER,dem,0,0.59535,0.98594,0.59858,0.54532,0.57245,0.62718,0.65013
ME,2,J. GOLDEN,B. POLIQUIN,dem,0,0.44602,0.44286,0.49452,0.44393,0.46883,0.52145,0.54416
MI,1,B. LORINSER,J. BERGMAN,gop,0,0.3777,0.00804,0.38367,0.32877,0.35282,0.41241,0.44029
MI,2,J. HILLIARD,J. MOOLENAAR,gop,0,0.3357,0,0.30795,0.26675,0.28549,0.32919,0.35003
MI,3,H. SCHOLTEN,J. GIBBS,open,0,0.52038,0.44531,0.49376,0.43947,0.46413,0.52311,0.55037
MI,4,J. ALFONSO,B. HUIZENGA,gop,0,0.45763,0.08147,0.43675,0.38092,0.40692,0.46582,0.49454
MI,5,B. GOLDBERG,T. WALBERG,gop,0,0.35595,0.00156,0.35888,0.30503,0.3303,0.38643,0.41479
MI,6,D. DINGELL,W. WILLIAMS,dem,0,0.61433,0.99799,0.62965,0.57622,0.60415,0.65755,0.68158
MI,7,E. SLOTKIN,T. BARRETT,dem,0,0.48243,0.48839,0.4981,0.44108,0.46918,0.52741,0.55264
MI,8,D. KILDEE,P. JUNGE,dem,0,0.48767,0.70826,0.52248,0.47057,0.49518,0.55031,0.57338
MI,9,B. JAYE,L. MCCLAIN,gop,0,0.32986,0.00045,0.32273,0.26961,0.29247,0.35006,0.37985
MI,10,C. MARLINGA,J. JAMES,open,0,0.47275,0.17589,0.45533,0.39223,0.42232,0.48804,0.51661
MI,11,H. STEVENS,M. AMBROSE,dem,0,0.5782,0.90893,0.55701,0.50242,0.52845,0.58567,0.60991
MI,12,R. TLAIB,S. ELLIOTT,dem,0,0.72773,0.99978,0.72446,0.67658,0.70162,0.74966,0.77029
MI,13,S. THANEDAR,M. BIVINGS,open,0,0.73256,1,0.69714,0.64264,0.67087,0.72569,0.74876
MN,1,J. ETTINGER,B. FINSTAD,gop,0,0.43053,0.0404,0.41357,0.35243,0.38088,0.4453,0.47552
MN,2,A. CRAIG,T. KISTNER,dem,0,0.51421,0.46317,0.49618,0.44691,0.47014,0.52159,0.54418
MN,3,D. PHILLIPS,T. WEILER,dem,0,0.58492,0.94821,0.57133,0.5158,0.54206,0.6015,0.62652
MN,4,B. MCCOLLUM,M. XIONG,dem,0,0.67413,0.99978,0.65454,0.60481,0.62974,0.68051,0.70312
MN,5,I. OMAR,CICELY DAVIS,dem,0,0.80816,0.99978,0.75029,0.70644,0.72816,0.77398,0.79262
MN,6,J. HENDRICKS,T. EMMER,gop,0,0.38827,0.00491,0.38043,0.32725,0.34994,0.40913,0.43677
MN,7,J. ABAHSAIN,M. FISCHBACH,gop,0,0.31104,0.00022,0.29727,0.24585,0.26885,0.32397,0.35029
MN,8,J. SCHULTZ,P. STAUBER,gop,0,0.42007,0.01629,0.40175,0.34627,0.37213,0.43058,0.45909
MO,1,C. BUSH,A. JONES,dem,0,0.78119,1,0.76914,0.72744,0.7496,0.79156,0.80938
MO,2,T. GUNBY,A. WAGNER,gop,0,0.43822,0.02455,0.41166,0.35747,0.38258,0.43936,0.46573
MO,3,B. MANN,B. LUETKEMEYER,gop,0,0.34633,0.00045,0.33368,0.28462,0.30669,0.36003,0.38528
MO,4,J. TRUMAN,M. ALFORD,open,0,0.2788,0,0.29038,0.23778,0.26039,0.31697,0.34622
MO,5,E. CLEAVER,J. TURK,dem,0,0.6134,0.99353,0.59014,0.54835,0.56868,0.61233,0.63084
MO,6,H. MARTIN,S. GRAVES,gop,0,0.29249,0.00022,0.26395,0.22245,0.24133,0.28522,0.30655
MO,7,K. SHEAFER,E. BURLISON,open,0,0.27079,0,0.2821,0.22896,0.25182,0.3092,0.33869
MO,8,R. MCCALLIAN,J. SMITH,gop,0,0.22371,0,0.23078,0.18754,0.20669,0.253,0.2761
MS,1,D. BLACK,T. KELLY,gop,0,0.31917,0.00022,0.31423,0.26397,0.28635,0.34033,0.36599
MS,2,B. THOMPSON,B. FLOWERS,dem,0,0.61074,0.99911,0.63001,0.58526,0.60698,0.65446,0.67299
MS,3,S. YOUNG,M. GUEST,gop,0,0.35562,0.00067,0.33639,0.2834,0.3077,0.36338,0.39307
MS,4,J. DUPREE,M. EZELL,open,0,0.28806,0,0.30313,0.24783,0.27273,0.3313,0.36061
MT,1,M. TRANEL,R. ZINKE,open,0,0.44192,0.13839,0.45071,0.39386,0.42021,0.47932,0.50879
