state,district,inc_seat,unopp,part_base,pr_dem,dem_mean,dem_q10,dem_q25,dem_q75,dem_q90
IL,4,dem,0,0.7192,0.9992,0.7123,0.6682,0.6911,0.7345,0.7558
IL,5,dem,0,0.6842,0.999,0.6793,0.6327,0.6562,0.7037,0.7265
IL,6,dem,0,0.5336,0.871,0.5454,0.4935,0.5198,0.5729,0.5981
IL,7,dem,1,NA,1,NA,NA,NA,NA,NA
IL,8,dem,0,0.5566,0.9162,0.5591,0.5063,0.5324,0.5863,0.6114
IL,9,dem,0,0.6904,0.9995,0.6845,0.6374,0.6619,0.7092,0.7304
IL,10,dem,0,0.6103,0.9905,0.6101,0.5592,0.5856,0.6354,0.6606
IL,11,dem,0,0.5562,0.9232,0.5603,0.5074,0.5343,0.5869,0.6127
IL,12,gop,0,0.2649,5e-4,0.256,0.211,0.2306,0.2785,0.3029
IL,13,open,0,0.5342,0.733,0.5251,0.4724,0.4978,0.5525,0.5794
IL,14,dem,0,0.5354,0.8848,0.55,0.4962,0.5223,0.5779,0.6034
IL,15,gop,0,0.2835,0,0.2732,0.2273,0.2487,0.2964,0.3209
IL,16,gop,0,0.3699,0.002,0.3509,0.3005,0.3236,0.3766,0.4036
IL,17,open,0,0.516,0.5332,0.5034,0.4507,0.4759,0.5304,0.5565
IN,1,dem,0,0.5199,0.7472,0.5269,0.4738,0.4997,0.5538,0.5817
IN,2,open,0,0.3636,0.0035,0.3618,0.3096,0.3347,0.388,0.4155
IN,3,gop,0,0.3269,0,0.3121,0.2654,0.2868,0.3364,0.3607
IN,4,gop,0,0.3971,0.007,0.376,0.3247,0.3496,0.4011,0.4279
IN,5,gop,0,0.3304,3e-4,0.3151,0.2667,0.2896,0.339,0.3657
IN,6,gop,0,0.6977,0.999,0.6627,0.6152,0.6394,0.6873,0.7102
IN,7,dem,0,0.3172,3e-4,0.3328,0.285,0.306,0.3574,0.3836
IN,8,gop,0,0.3397,0.0018,0.3245,0.2743,0.2964,0.349,0.376
IN,9,open,0,0.3129,5e-4,0.3152,0.2662,0.2881,0.3389,0.3669
KS,1,gop,0,0.3283,5e-4,0.3139,0.2661,0.2871,0.3383,0.3659
KS,2,gop,0,0.3949,0.0058,0.3749,0.3233,0.3477,0.4006,0.428
KS,3,dem,0,0.5,0.5948,0.5099,0.4573,0.4829,0.537,0.5636
KS,4,gop,0,0.3674,0.0013,0.3497,0.3007,0.3228,0.3752,0.4009
KY,1,gop,0,0.264,0,0.2527,0.2094,0.2287,0.2748,0.2995
